#mpa_vOct22_CHOCOPhlAnSGB_202212
#/mnt/data_1/software/metaphlan/metaphlan4/v4.0.6/env/bin/metaphlan temp.2000.metaphlan.sam --nreads 297098 --nproc 40 --input_type sam
#297098 reads processed
#SampleID	Metaphlan_Analysis
#clade_name	NCBI_tax_id	relative_abundance	additional_species
k__Bacteria	2	100.0	
k__Bacteria|p__Proteobacteria	2|1224	47.10602	
k__Bacteria|p__Firmicutes	2|1239	29.17548	
k__Bacteria|p__Actinobacteria	2|201174	23.7185	
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	36.77171	
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	29.17548	
k__Bacteria|p__Actinobacteria|c__Actinomycetia	2|201174|1760	23.7185	
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	2|1224|28211	10.33431	
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales	2|1224|1236|91347	27.27409	
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales	2|1239|91061|1385	19.72508	
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales	2|1224|28211|356	10.33431	
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales	2|1224|1236|72274	9.49761	
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	2|1239|91061|186826	9.4504	
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae	2|1224|1236|91347|543	17.42874	
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Corynebacteriales|f__Corynebacteriaceae	2|201174|1760|85007|1653	11.61779	
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae	2|1239|91061|1385|186817	10.88343	
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Phyllobacteriaceae	2|1224|28211|356|69277	10.33431	
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Morganellaceae	2|1224|1236|91347|1903414	9.84536	
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae	2|1224|1236|72274|135621	9.49761	
